NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
0.3,1.27,0.46,0.26,high,78,42,6.7,76
0.38,0.07,0.01,1.82,high,82,8,6.9,20
1.07,0.99,0,0.22,high,72,7,7.2,6
1.27,0.81,0,0.2,high,76,42,7.1,71
0.94,0.53,0.62,0.18,high,68,24,8.2,27
1.08,0.73,0.15,0.31,high,71,41,6.6,405
1.22,0.1,0.91,0.04,high,81,24,8.9,54
0.9,0.73,0.54,0.09,high,88,17,8.9,42
1.34,0.6,0,0.31,high,80,35,8.6,43
0.6,1.25,0.06,0.35,high,76,91,6.3,635
1.28,0.77,0,0.2,high,87,37,8.2,440
0.62,0.44,1.06,0.13,high,84,31,9,52
1.48,0.25,0.46,0.06,high,87,55,9.4,306
1.93,0.15,0,0.17,high,79,31,5.5,56
1.23,0.63,0.04,0.35,high,80,89,7.5,914
1.4,0.53,0.02,0.3,high,83,45,7.8,52
1.19,0.71,0.22,0.13,high,87,22,8.1,48
1.05,0.91,0.04,0.24,high,74,53,5.7,72
1.17,0.84,0,0.23,high,69,42,6.7,61
1.25,0.62,0.18,0.18,high,77,59,7.9,288
1.29,0.83,0,0.11,high,74,16,8,13
0.51,0.5,0.91,0.31,high,79,61,8,139
1.98,0.06,0,0.19,high,80,32,5.6,136
1.05,0.72,0.1,0.35,high,91,25,8.2,858
0.88,1.03,0,0.31,high,92,44,8.8,204
0.65,0.4,1.05,0.11,high,84,70,8.6,219
