Global_Sales,Critic_Score,User_Score
high,65,6.9
high,75,7.8
high,87,7.1
high,84,7.7
high,76,5
high,83,8.3
high,82,8.2
high,64,7.3
high,72,7.2
high,53,6
high,69,7.3
high,55,3.1
high,65,7
high,81,7.7
high,85,8.1
high,74,8.5
high,79,8.1
high,86,7.4
high,57,6.3
high,68,7.8
high,88,8.9
high,73,8.2
high,85,7.7
high,81,8.4
high,72,6.3
high,87,8.2
high,48,3.8
high,71,7.4
high,81,8.6
high,57,7.1
high,81,7.3
high,53,6.3
high,78,8.5
high,52,4.9
high,70,6.5
high,70,6.6
high,38,5
high,69,7.5
high,84,8.7
high,77,8.4
high,81,8.4
high,45,3
high,46,5.9
high,57,7.2
high,79,8.2
high,66,6.7
high,56,4.7
high,94,8.7
high,52,6.8
high,85,8
high,91,8.2
high,63,8
high,65,6.9
high,52,3.3
high,81,8.8
high,39,7.6
high,87,7.6
high,51,4.9
high,71,7.8
high,60,6
high,67,8.4
high,81,7.9
high,76,8.9
high,89,8.4
high,55,5.8
high,95,7.3
high,81,7.8
high,58,6
high,60,7
high,86,7.8
high,72,6
high,72,5.2
high,81,6.7
high,69,6.5
high,78,7.4
high,82,7.2
high,83,7.8
high,75,7.9
high,62,7.6
high,81,7.9
high,76,9
high,69,7.1
high,59,6.5
high,80,6.9
high,54,7.1
high,76,5.7
high,79,7.7
high,63,7.9
high,67,7.2
high,70,8.8
high,69,6.5
high,91,7.9
high,79,6.8
high,84,7.4
high,74,7.2
high,60,7.1
high,85,8.1
high,77,6.7
high,83,8.2
high,79,8.2
high,87,7.8
high,82,8
high,49,6.3
high,72,8.3
high,74,7.3
high,72,8
high,55,6.9
high,79,6.6
high,55,4.8
high,76,8.9
high,78,7.7
high,76,8
high,79,6.3
high,80,8.7
high,86,7.7
high,72,5.8
high,88,7.7
high,79,6.9
high,84,8.7
high,71,7
high,86,9
high,75,6.6
high,80,7.1
high,74,7.1
high,64,8.7
high,65,7
high,73,7.5
high,74,7.9
high,65,5.2
high,68,6.6
high,74,6.7
high,73,8.9
high,55,7
high,79,6
high,79,7.1
high,83,8.1
high,83,7.7
high,72,8.4
high,86,8.2
high,77,7.2
high,90,8.1
high,74,6.4
high,75,5.4
high,82,8.6
high,84,7.1
high,66,8.5
high,91,8.3
high,75,6.6
high,81,8.2
high,87,7.1
high,79,8.1
high,92,8.3
high,86,8.4
high,60,7.2
high,93,9
high,39,7
high,66,4
high,85,8.8
high,49,6.2
high,75,6.8
high,68,6.5
high,77,7.4
high,73,7.8
high,59,7.3
high,83,7.7
high,77,7.9
high,82,6.4
high,65,5.9
high,50,5.5
high,67,6.9
high,81,7.8
high,86,7.1
high,58,5.9
high,78,8.4
high,73,8.3
high,79,8.1
high,84,8.2
high,89,8.6
high,68,7
high,78,7.5
high,86,7
high,92,9
high,66,6.6
high,65,7.6
high,66,6.4
high,58,8.1
high,85,8.7
high,90,8.8
high,43,3.3
high,80,7.6
high,73,7.5
high,65,7.4
high,65,7.5
high,70,6.8
high,89,7.4
high,77,8.6
high,40,4.4
high,68,8.1
high,62,4.9
high,76,7.4
high,75,5.8
high,50,3.3
high,75,7.6
high,82,7.7
high,78,8.7
high,63,9
high,81,7.3
high,68,6.4
high,89,8.8
high,70,7.1
high,66,6.9
high,89,8
high,85,8.8
high,67,7.1
high,85,8.5
high,82,8.6
high,82,8.4
high,42,6.2
high,80,7.5
high,85,8.7
