Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Metal Gear Solid 4: Guns of the Patriots,Playstation,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,Kojima Productions,M
Final Fantasy XII,Playstation,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,T
The Last of Us,Playstation,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,Naughty Dog,M
LittleBigPlanet,Playstation,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,"SCE/WWS, Media Molecule",E
Resident Evil 2,Playstation,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,Level 5,E10+
Tekken 2,Playstation,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,T
Destiny,Playstation,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Nintendo,2007,Action,LucasArts,3.57,1.55,0,0.51,5.64,80,17,8.9,62,Traveller's Tales,E10+
Cooking Mama,Nintendo,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation,E
Tetris,Nintendo,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,,
Super Smash Bros.,Nintendo,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,,
Assassin's Creed II,Playstation,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,M
Assassin's Creed,Microsoft,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,Ubisoft Montreal,M
Forza Motorsport 3,Microsoft,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90,8,516,Turn 10,E
Super Mario Advance,Nintendo,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,Nintendo,E
Monster Hunter Freedom Unite,Playstation,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,Capcom,T
Batman: Arkham City,Playstation,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,Rocksteady Studios,T
Grand Theft Auto V,Microsoft,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Rockstar North,M
Mario Kart: Super Circuit,Nintendo,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,Intelligent Systems,E
Super Mario World,Nintendo,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,,
Pokemon Stadium,Nintendo,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,,
Crash Bandicoot: The Wrath of Cortex,Playstation,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,Traveller's Tales,E
Call of Duty: World at War,Playstation,2008,Shooter,Activision,2.73,1.83,0,0.83,5.39,85,45,7.6,409,Treyarch,M
Uncharted 4: A Thief's End,Playstation,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T
Dr. Mario,Nintendo,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,,,,,,
Final Fantasy XIII,Playstation,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,Square Enix,T
Pokemon Pinball,Nintendo,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,
Final Fantasy IX,Playstation,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T
Assassin's Creed III,Microsoft,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,M
Final Fantasy X-2,Playstation,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,SquareSoft,T
Donkey Kong 64,Nintendo,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,,
Call of Duty: Advanced Warfare,Microsoft,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,M
Minecraft,Playstation,2014,Misc,Sony Computer Entertainment,2.03,2.37,0,0.87,5.26,,,,,,
Assassin's Creed II,Microsoft,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,Ubisoft Montreal,M
Tomb Raider II,Playstation,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,,,Core Design Ltd.,T
Madden NFL 2004,Playstation,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,EA Tiburon,E
Tomodachi Life,Nintendo,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,,,,,,
New Super Mario Bros. U,Nintendo,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,Playstation,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Level 5,T
Super Mario Bros. 3,Nintendo,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,,,
Professor Layton and the Curious Village,Nintendo,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,Level 5,E
Super Mario Land 3: Wario Land,Nintendo,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,,,
FIFA Soccer 13,Microsoft,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,Electronic Arts,E
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,,
Medal of Honor: Rising Sun,Playstation,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,EA LA,T
Kirby's Dream Land,Nintendo,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,,,
Guitar Hero II,Playstation,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Harmonix Music Systems,T
Fable III,Microsoft,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,Lionhead Studios,M
Mario & Sonic at the Olympic Games,Nintendo,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,,,,,,
Resident Evil 5,Playstation,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,Capcom,M
The Legend of Zelda: Phantom Hourglass,Nintendo,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,416,Nintendo,E
Super Mario Bros.,Nintendo,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,,,,,,
FIFA Soccer 11,Playstation,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51,8,233,EA Sports,E
Resident Evil,Playstation,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,M
Grand Theft Auto: Vice City Stories,Playstation,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Rockstar Leeds,M
